Nom;Référence;Famille;Date semis;Prix unitaire (hors remise);Lien;Référence+lien
Oseille sanguine;A1091S;Aromatiques et médicinales;avril-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/287-oseille-sanguine-5415166001016.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pimprenelle;A1100S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/288-pimprenelle-5415166001047.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Raifort Cochléaire officinale;A1105S;Aromatiques et médicinales;mai - août;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/289-cochleaire-officinale-5415166013231.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Romarin;A1108S;Aromatiques et médicinales;avril-mai;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/1530-romarin-5415166026569.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Roquette Sauvage;A1110S;Aromatiques et médicinales;mars - août;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/290-roquette-sauvage-5415166001061.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Sarriette des Montagnes;A1115S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/291-sarriette-des-montagnes-5415166001092.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Sauge Officinale;A1120S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/292-sauge-officinale-5415166001115.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Sauge des prés;A1121S;Aromatiques et médicinales;avril-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/293-sauge-des-pres-5415166013248.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Thym ordinaire;A1130S;Aromatiques et médicinales;mai-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/294-thym-ordinaire-5415166001139.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Verveine Officinale;A1160S;Aromatiques et médicinales;avril-juillet;3;https://www.semaille.com/fr/vivaces-et-bisannuelles/296-verveine-officinale-5415166001160.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Epinard (Engrais vert);E0010S;Engrais verts;mars - août;4.5;https://www.semaille.com/fr/engrais-verts/594-epinard-engrais-vert-5415166001191.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Luzerne;E0020S;Engrais verts;avril-août;4.5;https://www.semaille.com/fr/engrais-verts/2-luzerne-5415166001214.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Moutarde blanche;E0030S;Engrais verts;mars - septembre;4.5;https://www.semaille.com/fr/engrais-verts/3-moutarde-blanche-5415166001238.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Phacélie;E0040S;Engrais verts;avril-septembre;4.5;https://www.semaille.com/fr/engrais-verts/4-phacelie-5415166001252.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Radis fourrager;E0045S;Engrais verts;mai - septembre;4.5;https://www.semaille.com/fr/engrais-verts/1531-radis-fourrager-5415166026576.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Seigle;E0050S;Engrais verts;août - octobre;4.5;https://www.semaille.com/fr/engrais-verts/5-seigle-5415166001276.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Vesce d'hiver;E0060S;Engrais verts;juillet - octobre;4.5;https://www.semaille.com/fr/engrais-verts/6-vesce-d-hiver-5415166001290.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Vesce d'été;E0065S;Engrais verts;mai - septembre;4.5;https://www.semaille.com/fr/engrais-verts/1532-vesce-d-ete-5415166026583.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Féverole d'hiver;E0070S;Engrais verts;mars - avril et septembre-octobre;4.5;https://www.semaille.com/fr/engrais-verts/7-feverole-d-hiver-5415166001313.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Sarrasin;E0080S;Engrais verts;avril-août;4.5;https://www.semaille.com/fr/engrais-verts/8-sarrasin-5415166001337.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Lupin bleu;E0090S;Engrais verts;avril-juillet;4.5;https://www.semaille.com/fr/engrais-verts/9-lupin-bleu-5415166001351.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Trèfle Blanc;E0105S;Engrais verts;avril-août;4.5;https://www.semaille.com/fr/engrais-verts/10-trefle-blanc-5415166001375.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Trèfle incarnat;E0106S;Engrais verts;avril-août;4.5;https://www.semaille.com/fr/engrais-verts/11-trefle-incarnat-5415166001399.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
